序,地區,認證別,單位名稱,餐廳名稱,性質,電話,地址,經度坐標,緯度坐標,認證單位,備註
1,臺北市       Taipei City,MR,-,阿里巴巴的廚房 Alibaba's Indian Kitchen,印度料理            Indian Cuisine,-8846,"臺北市中山區南京東路2段56號2樓             2F., No. 56, Sec. 2, Nanjing E. Rd., Zhongshan Dist., Taipei City, Taiwan (R.O.C.) ",121.5281047,25.0518481,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
2,臺北市       Taipei City,MR,-,"泰姬印度餐廳 
Taj Indian Restaurant ",印度料理            Indian Cuisine,-8064,"臺北市大安區市民大道4段48巷1號           No. 1, Ln. 48, Sec. 4, Shimin Blvd, Da’an Dist., Taipei City, Taiwan (R.O.C.) ",121.5458616,25.0447331,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
3,臺北市       Taipei City,MR,-,"清真泰富豪
Yunus Halal Restaurant",泰式料理               Thai Cusine,-2223,"臺北市松山區北寧路36號(近臺北小巨蛋)   No. 36, Beining Rd., Songshan Dist., Taipei City, Taiwan (R.O.C.) ",121.5518726,25.051659,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
4,臺北市       Taipei City,MR,-,"清真昆明園餐廳
Kunming Islamic Food",異國料理              Exotic Cuisine,-8643,"臺北市松山區復興北路81巷26號              No.26, Ln. 81, Fuxing N. Rd., Songshan Dist., Taipei City, Taiwan (R.O.C.)",121.5452369,25.051097,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
5,臺北市       Taipei City,MR,-,清真黃牛肉麵館  Muslim Beef Noodles Restaurant,中式麵食             Chinese Noodles,-9650,"臺北市中正區延平南路23號                    No. 23, Yanping S. Rd., Zhongzheng Dist., Taipei City, Taiwan (R.O.C.) ",121.510751,25.0456689,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
6,臺北市       Taipei City,MR,-,"塔吉摩洛哥料理 
Tajin Moroccan Cuisine",摩洛哥料理    Moroccan Cuisine,-9144,"臺北市大安區基隆路2段144巷3號1樓       1F., No. 3, Ln.144, Sec.2, Keelung Rd., Da' an Dist., Taipei City, Taiwan (R.O.C.) ",121.5563756,25.0283003,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
7,臺北市       Taipei City,MR,-,饗印印度巴基斯坦料理餐廳   Khana Khazana Indian Pakistani Restaurant,印度巴基斯坦料理 Indian Pakistani Food,-17268,"臺北市信義區基隆路1段366號                    No.366, Sec. 1, Keelung Rd., Xinyi Dist., Taipei City, Taiwan (R.O.C.)",121.5700134,25.0500914,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
8,臺北市       Taipei City,MR,-,番紅花城土耳其餐廳       Safranbolu Turkish Restaurant,土耳其菜                  Turkish Food,-4577,"臺北市中山區南京東路2段60號1.2樓           1-2F, No.60, Sec. 2, Nanjing E. Rd., Zhongshan Dist., Taipei City, Taiwan (R.O.C.)",121.529952,25.051722,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
9,臺北市       Taipei City,MR,-,印度香料王餐廳  Masala Art,印度料理             Indian Food,-1134,"臺北市中山區玉門街1號花博公園集食行樂廣場                                               Taipei Expo Park-Ma Ji Square, No.1, Yumen St., Zhongshan Dist., Taipei City, Taiwan (R.O.C.)",121.5217297,25.0696537,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
10,臺北市       Taipei City,MR,-,羅亞咖啡及餐廳 Royal Caf?,印尼料理            Indonesian Cuisine,-2790,"臺北市大安區新生南路2段72號                  No.72, Sec. 2, Xinsheng S. Rd., Da’an Dist., Taipei City, Taiwan (R.O.C.)",121.534467,25.027557,中國回教協會  Certification issued by Chinese Muslim Association,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
