序,地區,認證別,單位名稱,餐廳名稱                ,性質,電話,地址,經度坐標,緯度坐標,認證單位,備註
1,台北市            Taipei City,全清真                                             All Halal,"中東創意料理有限公司
Arabian Nights Food and Beverages CO. LTD.","中東創意bbq料理
Arabian Nights Taiwan",餐廳                                             Restaurant,-3505,"臺北市信義區信義路六段93號
No. 93, Sec. 6, Xinyi Rd., Xinyi Dist., Taipei City",121.5619587,23.9675092,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
2,台中市  Taichung City,全清真                                             All Halal,"印度先生印度餐廳
Mr. India Indian Restaurant","印度先生印度餐廳
Mr. India Indian Restaurant",餐廳                                             Restaurant,04-2320-8821,"台中市西屯區精誠路6號
407 No. 6, Jing Cheng Rd., Xi Tun District, Taichung City, Taiwan ",121.5724976,24.1689418,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
3,花蓮縣            Hualien County,全清真                                             All Halal,"歐馬哈南企業社  
OmarHanan Corporation","大馬士革廚房 
Damascus Kitchen",餐廳                                             Restaurant,-1867.156885,"花蓮縣吉安鄉福興路186巷13號             97364 No. 13, Lane 186, Fuxing Rd., Ji'an Township, Hualien County",121.5690009,23.9658035,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
4,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"德魯固股份有限公司
Taroko Village Hotel","太魯閣山月村
Taroko Village Hotel",旅館                                            Hotel,-1156,"花蓮縣秀林鄉富世村231之1號
No. 231-1, Fushi Village, Xiulin Township, Hualien County",121.5907607,24.0100762,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
5,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"翠園歐風庭園民宿
Evergreen Garden House
","翠園歐風庭園民宿
Evergreen Garden House",民宿                              Guesthouse ,"+886-3-852-3888
0932-656-069
","花蓮縣吉安鄉吉昌三街135號
No.135, Ji-chang 3rd Street, Ji-an Township, Hualien County",121.537411,23.9075141,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
6,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,青色山脈舒活館                              Greenhills Hub,青色山脈舒活館                              Greenhills Hub,餐廳                                             Restaurant,-1978,"花蓮縣花蓮市豐村122-10號                                          No.122-10 Fengcun Hualien City, Hualien County",121.5087044,23.8331954,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
7,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"雲上太陽民宿
Sunonthecloud","雲上太陽民宿
Sunonthecloud",民宿                              Guesthouse ,-1794,"花蓮縣壽豐鄉志學村中正路261巷48號
No. 48, Lane 261, Zhongzheng Road, Zhixue Village, Shoufeng Township, Hualien County",121.5987964,23.9867042,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
8,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"雲山水民宿
Villa Home","雲山水民宿
Villa Home",民宿                              Guesthouse ,-6042,"花蓮縣壽豐鄉豐坪路二段2巷201弄18號
No.18, Aly. 201, Ln. 2, Sec. 2, Fengping Rd., Shoufeng Township, Hualien County",121.6253646,23.9911847,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
9,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"麗格休閒飯店有限公司           花蓮分公司
Liga Hotel Co., Ltd. Hualien Branch",麗格休閒飯店 (3星)                                 Liga Hotel (3 Star),旅館                                            Hotel,-9873,"花蓮縣花蓮市商校街262號
970 No.262, Shangxiao St., Hualien City, Hualien County",121.494185,24.182008,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
10,花蓮縣            Hualien County,附設清真菜單           Halal Menu Included,"麗軒國際飯店有限公司                      花蓮分公司
Lishiuan International Hotel Co. Ltd. Hualien Branch","麗軒國際飯店
Lishiuan International Hotel",旅館                                            Hotel,-6839,"花蓮縣花蓮市中美路99-1號
970 No. 99-1, Chung Mei Rd., Hualien City, Hualien County",121.5631438,23.9600553,台灣伊斯蘭協會      Certification issued by Islamic Association of Taiwan,"※MR=穆斯林餐廳  ※MR=Muslim Restaurant
※MFR=穆斯林友善餐廳  ※MFR=Muslim-Friendly Restaurant
※MFT=穆斯林友善餐旅  ※MFT=Muslim-Friendly Tourism
※HK=清真(中央)廚房  ※HK=Halal Kitchen(Central Kitchen)
※如欲至上述休閒農場或飯店之穆斯林友好餐廳用餐之教親，煩請至少於三天前去電訂購穆斯林餐，以利業者準備。
※If you want to make reservations at Muslim Friendly Restaurants of the above farms and hotels, please inform them of your need for a Muslim meal 3 days in advance."
