"客戶名稱","素食種類","服務語言","電話","地址","交通","營業時間","消費價格","網址","座標位置"
"梅門防空洞","全素、奶蛋素","中文、英文","(  +886-2-2389-7788","台北市中正區延平南路87號B1","捷運西門站徒步4分","11:00~22:00，週五11:00~ 隔日 06:00，
週一休","約 NT$250 元","www.facebook.com/meimengarden/","25.043293,121.510837"
"元禾食堂","全素","中文、英文","(  +886-2-2771-6115","台北市大安區敦化南路一段233巷32號","捷運忠孝敦化站徒步4分","11:30~21:30","約 NT$150 元","www.facebook.com/Flourishvegan/","25.040268,121.551068"
"若荷蔬食火鍋","全素、奶蛋素","中文、英文、日文","(  +886-2-2752-0838","台北市大安區敦化南路一段160巷58號","捷運忠孝復興站徒步6分","11:00~22:00","約 NT$495 元","www.facebook.com/likelotusvegan/","25.043498,121.546641"
"永康茶書院 回留茶館","全素","中文、英文、日文","(  +886-2-2392-6707","台北市大安區永康街31巷9號","捷運東門站徒步5分","10:00~21:30","約 NT$260 元","www.sooyards.com/huiliu","25.031523,121.530095"
"寬心園 板橋中山店","全素、奶蛋素","中文、英文、日文","(  +886-2-8953-2983","新北市板橋區中山路一段158號","捷運板橋站徒步3分","11:30~21:30","約 NT$580 元","www.easyhouse.tw","25.011496,121.465703"
"浣花草堂素食餐廳","全素、奶素","中文、英文","(  +886-2-8969-1909","新北市板橋區縣民大道二段7號","捷運板橋站徒步3分","11:30~22:00","約 NT$150 元","www.dufuhouse.com.tw/About.html","25.014398,121.463492"
"之間茶食器","蔬食、部分餐點可改全素","中文、英文","(  +886-2-2629-7709","新北市淡水區中正路330號","捷運淡水站轉乘往漁人碼頭的紅26號公車，小白宮站下","11:30~21:30","約 NT$140 元","zh-tw.facebook.com/BetweenTeaHouse","25.172999,121.436203"
"舒果新米蘭蔬食 中美店","蔬食、部分餐點可改全素","中文、英文","(  +886-3-426-2652","桃園市中壢區中美路51號","中壢火車站徒步8分","平日 11:30~14:30、17:30~21:30，
假日 11:30~14:30、17:30~22:00","約 NT$438 元","www.sufood.com.tw","24.958293,121.226310"
"艾維農歐風素食 藝文畫廊","全素、奶蛋素","中文、英文","(  +886-3-358-1350","桃園市桃園區大業路一段292號","桃園火車站轉搭公車，大業國小站下，徒步3分","11:30~14:00、17:30~21:00","約 NT$380 元","avignonrestaurant.com","25.009284,121.314943"
"漢來蔬食 桃園店","全素、奶蛋素","中文、英文","(  +886-3-312-5222","桃園市蘆竹區南崁路一段112號6樓","桃園客運往桃園機場方向，台茂站下","平日 11:30 ~ 21:00，假日 11:00 ~ 21:00","約 NT$500 元","www.hilai-foods.com/zh_TW/brand/vegetarian","25.051985,121.287730"
"綜也蔬食","全素","中文、英文","(  +886-3-522-4492","新竹市北區世界街114號","新竹火車站徒步11分","1:30~13:30、17:30~20:00，週三、週四休","約 NT$170 元","www.facebook.com/TzungYe.Vegan","24.807740,120.967402"
"井町日式蔬食料理","全素、奶蛋素","中文、英文","(  +886-3-525-3158","新竹市北區大同路135號","新竹火車站徒步10分","11:30~14:00、17:30~21:00","約 NT$100 元","www.facebook.com/ 井町 -330154540435960/","24.806527,120.967228"
"日勝客家蔬食","全素","中文、英文","(  +886-3-588-2106","新竹縣新埔鎮中正路329號","新竹火車站轉搭公車、市場前站下","10:30~15:30，週三休","約 NT$80 元","www.facebook.com/sunrise5882106","24.827758,121.077626"
"一簞食˙蔬食生活","奶素","中文、英文","(  +886-3-931-1993","宜蘭縣宜蘭市進士路101號","由宜蘭火車站[751][753]、宜蘭火車站前五洲旅社站[1786]搭車至[自強路口站]下車，即可到達。","08:00~14:00，週日、週一休","約 NT$80 元","zh-tw.facebook.com/eatdansu","24.742976,121.747273"
"有機大地健康蔬食餐廳","全素、奶蛋素","中文、英文","(  +886-3-987-0539","宜蘭縣礁溪鄉中山路二段51號","礁溪火車站徒步6分","平日 08:00~20:00，假日 06:00~20:00，週日休","約 NT$160 元","www.facebook.com/YouJiDaDe/","24.824615,121.772045"
"I-Su 艾蔬食","蔬食、部分餐點可改全素","中文、英文","(  +886-3-746-1932","苗栗縣竹南鎮大營路1號","公車竹南高中站","11:30~14:30、17:00~21:00，週二休","約 NT$199 元","www.i-su.com.tw","24.681239,120.873110"
"卓也小屋度假園區","全素、奶蛋素","中文、英文","(  +886-3-787-9198","苗栗縣三義鄉雙潭村13鄰崩山下1-5號","豐原客運三義西湖渡假村站下車，或搭乘計 
程車","平日午餐11:30~14:00，假日午餐11:00~12:30、13:00~14:30、晚餐17:00~20:00","約NT$499元"," www.joye.com.tw","24.391993,120.797306"
"斐麗巴黎廳","全素、奶蛋素、奶素","中文、英文","(  +886-4-2376-8089","台中市西區五權西六街20巷2號","公車五權西忠明南路口站"," 11:30~14:30、17:30~21:30","約NT$660元"," feeling.com.tw","24.139010,120.658646"
