"客戶名稱","客戶名稱1","素食種類","服務語言","電話","地址","交通","營業時間","消費價格","網址"
"極樂寺滴水坊","極楽寺滴水坊","全菜食料理乳製品卵使用","ZH","+886-2-2423-1141-8 内線505","基隆市信義区信二路270 号","基隆駅から徒歩15 分","11:00~20:00、火曜日定休","約NT$100 より","www.fgsthouse.com.tw"
"SU 蔬食料理","Su 蔬食料理","全菜食料理乳製品卵使用","ZH、EN","+886-2-2894-6428","台北市北投区光明路228 号","MRT 新北投駅から徒歩4 分","11:00~21:00","約NT$230 より","www.su-veges.com"
"毫光回田蔬苑","毫光回田蔬苑","全菜食料理乳製品卵使用","ZH、EN","+886-2-2883-2168","台北市士林区中正路357 号","MRT 士林駅から徒歩7 分 ","11:00~14:00、17:00~21:00 ","約NT$150 より","www.hawkuang.com"
"北平金廚新蔬食料理","北平金廚新蔬食料理","全菜食料理乳製品卵使用","ZH","+886-2-2873-8680 ","台北市士林区天母西路38巷3号 ","MRT石牌駅でバスに乗り換え、斉福華廈バス停で下車 ","11:30~14:00、17:00~21:00 ","約NT$300より ","www.facebook.com/jinchu3803"
"Chamkar蔬食","Chamkar 蔬食","菜食の一部は全菜食料理に変更可能","ZH、EN、FR","+886-2-2838-3400 ","台北市士林区忠誠路二段50巷7号 ","MRT芝山駅下車、バス或いは大葉高島屋の無料送迎バスに乗り換えて、蘭雅国民中学バス停で下車 ","11:30~15:00、17:00~21:30、月曜日定休 ","約NT$160より ","www.facebook.com/chamkarvegetarian"
"Herban Kitchen & Bar二本餐廳","Herban Kitchen & Bar 二本餐庁","菜食の一部は全菜食料理に変更可能","ZH、EN","+886-2-8773-7033","台北市大安区忠孝東路四段101 巷27 号","MRT 忠孝敦化駅から徒歩3 分","12:00~23:00","約NT$280 より","tripmoment.com/Trip/18285"
"果然匯 (饗食天堂集團)","果然匯","全菜食料理乳製品卵使用","ZH、EN、JA","+886-2-2771-8832","台北市大安区忠孝東路四段200 号12 階","MRT 忠孝敦化駅から徒歩1 分","11:30~15:00、14:30~16:30、17:30~21:30","約NT$538 より","www.fruitfulfood.com.tw"
"養心茶樓","養心茶楼","全菜食料理乳製品卵使用","ZH、EN、JA","+886-2-2542-8828","台北市中山区松江路128号2階 ","MRT松江南京駅から徒歩2 分 ","11:30~21:30 ","約NT$500より ","www.ysvege.com"
"Miacucina復興店","Miacucina 復興店","全菜食料理乳製品卵使用","ZH、EN、JA","+886-2-2752-8767","台北市大安区復興南路一段107巷11号","MRT忠孝復興駅から徒歩5 分 ","11:00~22:00、土曜日、日曜日09:00~22:00 ","約NT$200より ","www.facebook.com/Miacucinafamily"
"The Green ROOM","The Green ROOM","種香辛料使用、一部料理は全菜食に変更可能","ZH、EN、JA","+886-2-2704-5208","台北市大安区仁愛路四段300 巷25 弄3 号","MRT 国父紀念館駅から徒歩6 分","12:00~16:00、17:00~22:00、日曜日定休","約NT$180 より","www.facebook.com/thegreenroomtpe"
"VegeTable餐廳","VegeTable 蔬桌","全菜食料理5 種香辛料","ZH、EN","+886-2-2755-5080","台北市大安区仁愛路四段266 巷8 弄2 号","MRT 忠孝敦化駅から徒歩7 分","11:00~22:00","約NT$320 より","www.facebook.com/VegeTableTaipei"
"鈺成素食火烤兩吃","鈺成素食火烤二吃","全菜食料理乳製品卵使用","ZH、EN、JA","+886-2-2775-5560 ","台北市大安区市民大道三段304号 ","MRT忠孝復興駅から徒歩4 分","11:30~22:00 ","約NT$450より ","www.facebook.com/Yucheng.Hot.Pot.BBQ.TP/"
"梅門防空洞","梅門防空洞","全菜食料理乳製品卵使用","ZH、EN","+886-2-2389-7788","台北市中正区延平南路87号B1 ","MRT西門駅から徒歩4 分 ","11:00~22:00、金曜日11:00~翌日06:00、月曜日定休 ","約NT$250より ","www.facebook.com/meimengarden/"
"元禾食堂","元禾食堂","全菜食料理","ZH、EN","+886-2-2771-6115","台北市大安区敦化南路一段233 巷32 号","MRT 忠孝敦化駅から徒歩4 分","11:30~21:30","約NT$150 より","www.facebook.com/Flourishvegan/"
"若荷蔬食火鍋","若荷蔬食火鍋","全菜食料理乳製品卵使用","ZH、EN、JA","+886-2-2752-0838","台北市大安区敦化南路一段160 巷58 号","MRT 忠孝復興駅から徒歩6 分","11:00~22:00","約NT$495 より","www.facebook.com/likelotusvegan/"
"永康茶書院 回留茶館","永康茶書院 回留茶館","全菜食料理","ZH、EN、JA","+886-2-2392-6707 ","台北市大安区永康街31巷9号 ","MRT東門駅から徒歩5 分","10:00~21:30 ","約NT$260より","www.sooyards.com/huiliu"
"寬心園 板橋中山店","寬心園 板橋中山店","全菜食料理乳製品卵使用","ZH、EN、JA","+886-2-8953-2983 ","新北市板橋区中山路一段 158号 ","MRT板橋駅から徒歩3 分 ","11:30~21:30","約NT$580より ","www.easyhouse.tw"
"浣花草堂素食餐廳","浣花草堂素食餐庁","全菜食料理乳製品卵使用","ZH、EN","+886-2-8969-1909","新北市板橋区県民大道二段7 号","MRT 板橋駅から徒歩3 分","11:30~22:00","約NT$150 より","www.dufuhouse.com.tw/About.html"
"之間茶食器","之間茶食器","菜食の一部は全菜食料理に変更可能","ZH、EN","+886-2-2629-7709","新北市淡水区中正路330 号","MRT 淡水駅から漁人碼頭行きの紅26 番バスに乗り換え、小白宮バス停で下車","11:30~21:30","約NT$140 より","zh-tw.facebook.com/BetweenTeaHouse"
"舒果新米蘭蔬食 中美店","舒果新米蘭蔬食 中美店","菜食の一部は全菜食料理に変更可能","ZH、EN","+886-3-426-2652 ","桃園市中壢区中美路51号 ","中壢駅から徒歩8分 ","平日11:30~14:30、17:30~21:30、假日11:30~14:30、17:30~22:00 ","約NT$438より","www.sufood.com.tw"
"艾維農歐風素食 藝文畫廊","艾維農欧風素食× 芸文ギャラリー","全菜食料理乳製品卵使用","ZH、EN","+886-3-358-1350 ","桃園市桃園区大業路一段292号 ","桃園駅からバスに乗り換え、大業国民小学校バス停で下 車、徒歩3 分 ","11:30~14:00、17:30~21:00 ","約NT$380より ","avignonrestaurant.com"
"漢來蔬食 桃園店","漢来蔬食 桃園店","全菜食料理乳製品卵使用","ZH、EN","+886-3-312-5222","桃園市蘆竹区南崁路一段112 号6 階","桃園バスで桃園空港に向かい、台茂バス停で下車","平日11:30 ~21:00、休日11:00~21:00","約NT$500 より","www.hilai-foods.com/zh_TW/brand/vegetarian"
