"客戶名稱","客戶名稱1","素食種類","服務語言","電話","地址","交通","營業時間","消費價格","網址"
"極樂寺滴水坊","Water Drop Teahouse at Jile Temple","Vegan/Vegetarian","ZH","+886-2-2423-1141-8 # 505","No. 270, Xin 2nd Rd., Xinyi Dist. Keelung City","Keelung Railway Station→Walk 15 mins","11:00~20:00; Closed on Tue","around NT$100","www.fgsthouse.com.tw"
"SU 蔬食料理","Su Vegetarian Cuisine","Vegan/Vegetarian","ZH、EN","+886-2-2894-6428","No. 228, Guangming Rd., Beitou Dist., Taipei City","MRT Xinbeitou Station → Walk 4 mins","11:00~21:00","around NT$230","www.su-veges.com"
"毫光回田蔬苑","Hui Tien Vegetarianism","Vegan/Vegetarian","ZH、EN","+886-2-2883-2168","No. 357, Zhongzheng Rd., Shilin Dist, Taipei City","MRT Shilin Station → Walk 7 mins","11:00~14:00 , 17:00~21:00","around NT$150","www.hawkuang.com"
"北平金廚新蔬食料理","Beijing Gold Kitchen","Vegan/Vegetarian","ZH","+886-2-2873-8680","No. 3, Lane 38, Tianmu W. Rd., Shilin Dist, Taipei City ","MRT Shipai Station → Take the bus to Qifu Mansion stop ","11:30~14:00,17:00~21:00 ","around NT$300","www.facebook.com/jinchu3803"
"Chamkar蔬食","Chamkar Cafe & Restaurant","Vegan and vegetarian; special orders allowed","ZH、EN、FR","+886-2-2838-3400 ","No. 7, Lane 50, Sec. 2, Zhongcheng Rd., Shilin Dist, Taipei City ","MRT Zhishan Station→Take the bus to Lanya Jr. High School or free shuttle to Dayeh Takashimaya ","11:30~15:00,17:00~21:30; Closed on Mon ","around NT$160 ","www.facebook.com/chamkarvegetarian"
"Herban Kitchen & Bar二本餐廳","Herban Kitchen & Bar","Vegan and Vegetarian; special orders allowed","ZH、EN","+886-2-8773-7033","No. 27, Lane 101, Zhongxiao E. Rd., Section 4, Da'an Dist. Taipei City","MRT Zhongxiao Dunhua Station → Walk 3 mins","12:00~23:00","around NT$280","tripmoment.com/Trip/18285"
"果然匯 (饗食天堂集團)","Fruitful Food","Vegan/Vegetarian","ZH、EN、JA","+886-2-2771-8832","12F, No. 200, Sec. 4, Zhongxiao E. Rd., Da'an Dist., Taipei City","MRT Zhongxiao Dunhua Station → Walk 1 min","11:30~15:00,14:30~16:30,17:30~21:30","around NT$538","www.fruitfulfood.com.tw"
"養心茶樓","Yang Shin Vegetarian Restaurant","Vegan/Vegetarian","ZH、EN、JA","+886-2-2542-8828 ","2F, No. 128, Songjiang Rd. Zhongshan Dist., Taipei City ","MRT Songjiang Nanjing Station → Walk 2 mins ","11:30~21:30 ","around NT$500 ","www.ysvege.com"
"Miacucina復興店","Miacucina (Fuxing)","Vegan/Vegetarian","ZH、EN、JA","+886-2-2752-8767 ","No. 11, Lane 107, Sec. 1, Fuxing S. Rd., Da'an Dist., Taipei City ","MRT Zhongxiao Fuxing Station → Walk 5 mins Weekdays ","11:00~22:00; Weekends 09:00~22:00 ","around NT$200 ","www.facebook.com/Miacucinafamily"
"The Green ROOM","The Green ROOM","Vegan and
Buddhist vegetarian; special orders allowed","ZH、EN、JA","+886-2-2704-5208","No. 3, Alley 25, Lane 300, Sec. 4, Ren'ai Rd., Taipei City","MRT Sun Yat-sen Memorial Hall Station →Walk 6 mins","12:00~16:00,17:00~22:00; Closed on Sun","around NT$180","www.facebook.com/thegreenroomtpe"
"VegeTable餐廳","VegeTable","Vegan/ Buddhist Vegetarian","ZH、EN","+886-2-2755-5080","No. 2, Alley 8, Lane 266, Sec. 4, Ren'ai Rd., Taipei City","MRT Zhongxiao Dunhua Station →Walk 7 mins","11:00~22:00","around NT$320","www.facebook.com/VegeTableTaipei"
"鈺成素食火烤兩吃","YuCheng Hot Pot BBQ","Vegan/Vegetarian","ZH、EN、JA","+886-2-2775-5560 ","No. 304, Sec. 3, Civic Blvd., Da'an Dist., Taipei City ","MRT Zhongxiao Fuxing Station → Walk 4 mins ","11:30~22:00 ","around NT$450 ","www.facebook.com/Yucheng.Hot.Pot.BBQ.TP/"
"梅門防空洞","Meimen Garden","Vegan/Vegetarian","ZH、EN","+886-2-2389-7788 ","B1, No. 87, Yanping S. Rd., Zhongzheng Dist., Taipei City ","MRT Ximen Station→ Walk for 4 mins ","11:00~22:00 (Friday to 06:00); Closed on Mon ","around NT$250 ","www.facebook.com/meimengarden"
"元禾食堂","Flourish","Vegan","ZH、EN","+886-2-2771-6115","No. 32, Lane 233, Sec. 1, Dunhua S. Rd. Section, Da'an Dist., Taipei City","MRT Zhongxiao Dunhua Station → Walk 4 mins","11:30~21:30","around NT$150","www.facebook.com/Flourishvegan/"
"若荷蔬食火鍋","Like Lotus Vegetarian Hot Pot","Vegan/ Vegetarian","ZH、EN、JA","+886-2-2752-838","No. 58, Lane 160, Sec. 1, Dunhua S. Rd., Da'an Dist., Taipei City","MRT Zhongxiao Fuxing Station → Walk 6 mins","11:00~22:00","around NT$495","www.facebook.com/likelotusvegan/"
"永康茶書院 回留茶館","Hui Liu ","Vegan","ZH、EN、JA","+886-2-2392-6707 ","No. 9, Lane 31, Yongkang St., Da'an Dist., Taipei City ","MRT Dongmen Station → Walk 5 mins ","10:00~21:30 ","around NT$260"," www.sooyards.com/huiliu"
"寬心園 板橋中山店","Easy House Vegetarian Cuisine (Banqiao)","Vegan/Vegetarian","ZH、EN、JA","+886-2-8953-2983 ","No. 158, Sec. 1, Zhongshan Rd., Banqiao Dist., New Taipei City ","MRT Banqiao Station → Walk 3 mins ","11:30~21:30 ","around NT$580 ","www.easyhouse.tw"
