"客戶名稱","客戶名稱1","素食種類","服務語言","電話","地址","交通","營業時間","消費價格","網址"
"極樂寺滴水坊","극락사적수방 (極樂寺滴水坊)","완전채식 및 계란채식","ZH","+886-2-2423-1141-8 Ext. 505","지룽시 신의구 신 2 로 270 호","지룽 ( 基隆) 기차역 도보로 약 15 분","11:00~20:00 ( 매주 화 휴무 )","NT$100 부터","www.fgsthouse.com.tw"
"SU 蔬食料理","Su 베지테리언푸드","완전채식 및 계란채식","ZH、EN","+886-2-2894-6428","타이베이시 베이터우구 광밍로 228 호","타이베이 MRT 신베이터우 ( 新北投) 역에서 도보 4 분","11:00~21:00","NT$230 부터","www.su-veges.com"
"毫光回田蔬苑","하오광후이톈(毫光回田) 베지테리언 가든","완전채식 및 계란채식","ZH、EN","+886-2-2883-2168","타이베이시 스린구 중정로 357 호","타이베이 MRT 스린역에서 도보 7 분","11:00~14:00, 17:00~21:00","NT$ 150 부터","www.hawkuang.com"
"北平金廚新蔬食料理","베이핑(北平) 골든키친 베지테리언 레스토랑","완전채식 및 계란채식","ZH","+886-2-2873-8680","타이베이시 스린구 톈무서로 38 항 3 호","타이베이 MRT 스파 ( 石牌 ) 역에서 버스 환승 , 지푸화샤( 齊福華廈 ) 정류장 하차","11:30~14:00, 17:00~21:00","NT$300 부터","www.facebook.com/jinchu3803"
"Chamkar蔬食","Chamkar 채식 레스토랑","계란채식 ( 주문시 완전채식 가능)","ZH、EN、FR","+886-2-2838-3400","타이베이시 스린구 중청로 2 단 50 항 7 호","타이베이 MRT 즈산역 하차 , 시내버스 또는 다예가오다우 ( 大葉高島屋 ) 백화점 셔틀버스로 란야 ( 蘭雅 ) 중학교 하차","11:30~15:00, 17:00~21:30 ( 매주 월 휴무 )","NT$160 부터","www.facebook.com/chamkarvegetarian"
"Herban Kitchen & Bar二本餐廳","허번키친 바(Herban Kitchen & Bar)","계란채식 ( 주문시 완전채식 가능 )","ZH、EN","+886-2-8773-7033","타이베이시 다안구 중샤오동로 4 단 101 항 27 호","타이베이 MRT 중샤오둔화역 도보 3 분","12:00~23:00","NT$ 280 부터","tripmoment.com/Trip/18285"
"果然匯 (饗食天堂集團)","궈란후이 ( 果然匯)","완전채식 및 계란채식","ZH、EN、JA","+886-2-2771-8832","타이베이시 다안구 중샤오동로 4 단 200 호 12F","타이베이 MRT 중샤오둔화역에서 도보로 1 분","11:30~15:00, 14:30~16:30, 17:30~21:30","NT$538 부터","www.fruitfulfood.com.tw"
"養心茶樓","량신 ( 養心) 딤섬","완전채식 및 계란채식","ZH、EN、JA","+886-2-2542-8828","타이베이시 중산구 쑹장로128호2F ","타이베이MRT 쑹장난징(松江南京)역에서 도보로 2분","11:30~21:30","NT$500부터","www.ysvege.com"
"Miacucina復興店","Miacucina 푸싱점","완전채식 및 계란채식","ZH、EN、JA","+886-2-2752-8767","타이베이시 다안구 푸싱난로 1단 107항 11호","타이베이MRT중샤오푸싱(忠孝復興)역에서 도보로 5분","11:00~22:00, 주말(토,일) 09:00~22:00 ","NT$200부터 ","www.facebook.com/Miacucinafamily"
"The Green ROOM","더 그린룸 (The Green ROOM)","파 , 양파 , 마늘 ,부추 , 염교 포함( 주문시 완전채식 가능)","ZH、EN、JA","+886-2-2704-5208","타이베이시 런아이로 4 단 300 항 25 농 3 호","타이베이 MRT 국부기념관역에서 도보 6 분","12:00~16:00, 17:00~22:00 ( 매주 일 휴무 )","NT$180 부터","www.facebook.com/thegreenroomtpe"
"VegeTable餐廳","베지테이블 ( 蔬桌)","완전 채식( 파 , 양파 , 마늘 , 부추 , 염교포함 )","ZH、EN","+886-2-2755-5080","타이베이시 런아이로 4 단 226 항 8 농 2 호","타이베이 MRT 중샤오둔화 ( 忠孝敦化) 역에서 도보 7 분","11:00~22:00","NT$320 부터","www.facebook.com/VegeTableTaipei"
"鈺成素食火烤兩吃","위청 ( 鈺成) 채식 샤브샤브","완전채식 및 계란채식","ZH、EN、JA","+886-2-2775-5560","타이베이시 다안구 스민대도3단 304호 ","타이베이MRT중샤오푸싱(忠孝復興)역에서 4분 ","11:30~22:00 ","NT$450부터 ","www.facebook.com/Yucheng.Hot.Pot.BBQ.TP/"
"梅門防空洞","메이먼 ( 梅門) 방공호","완전채식 및 계란채식","ZH、EN","+886-2-2389-7788 ","타이베이시 중정구 옌핑남로87호 B1 ","타이베이MRT 시먼(西門)역에서 4분 거리 ","11:00~22:00, 매주 금：밤부터 아침06:00 (매주 월 휴무) ","NT$250 부터 ","www.facebook.com/meimengarden/"
"元禾食堂","위안허 ( 元禾) 채식 레스토랑","완전채식","ZH、EN","+886-2-2771-6115","타이베이시 다안구 둔화남로 1 단 233 항 32 호","타이베이 MRT 중샤오둔난 ( 忠孝敦化) 역에서 4 분거리","11:30~21:30","NT$150 부터","www.facebook.com/Flourishvegan/"
"若荷蔬食火鍋","루어허 ( 若荷) 채식 샤브샤브","완전채식 및 계란채식","ZH、EN、JA","+886-2-2752-0838","타이베이시 다안구 둔화남로 1 단 160 항 58 호","타이베이 MRT 중샤오푸싱 ( 忠孝復興) 역에서 도보6 분","11:00~22:00","NT$495 부터","www.facebook.com/likelotusvegan/"
"永康茶書院 回留茶館","융캉 ( 永康) 차서원 후이류 ( 回留) 차관","완전채식","ZH、EN、JA","+886-2-2392-6707 ","타이베이시 다안구 융캉가31항9호 ","타이베이MRT 둥먼(東門)역에서 5분 거리 ","10:00~21:30 ","NT$260부터 ","www.sooyards.com/huiliu"
"寬心園 板橋中山店","콴신위안 ( 寬心園) 반챠오 중산지점","완전채식 및 계란채식","ZH、EN、JA","+886-2-8953-2983 ","신베이시 반챠오구 중산로1단 158호 ","타이베이MRT 반챠오(板橋)역 도보로 3분 ","11:30~21:30 ","NT$580부터 ","www.easyhouse.tw"
"浣花草堂素食餐廳","완화차오탕 ( 浣花草堂) 채식 레스토랑","완전채식 및 우유채식","ZH、EN","+886-2-8969-1909","신베이시 반챠오구 셴민다다오 2 단 7 호","타이베이 MRT 반챠오 ( 板橋) 역에서 도보 3 분","11:30~22:00","NT$150 부터","www.dufuhouse.com.tw/About.html"
